Household_ID,City,Latitude,House_Type,Roof_Type,Roof_Pitch,Roof_Azimuth,Floors,Financed,Year,Panel_Capacity,Shading,Generation
2AF52F25D7,Brisbane,-27.41762,Timber Frame,,35.0,62.0,Double,Yes,2015,6720,None,12603.767
C656E59E90,Brisbane,-27.711019,Timber Frame,,25.0,137.0,Double,Yes,2016,6720,Partial,8618.175
DC3C5CB074,Brisbane,-27.491956,Double Brick,Tile,20.0,174.0,Double,Yes,2019,7140,None,11917.109
27430D1488,Brisbane,-27.453982,Other,Steel,5.0,21.0,Single,Yes,2020,7140,Significant,7103.143
AFC8C1FA75,Brisbane,-27.372331,Timber Frame,Steel,30.0,296.0,Other,Yes,2019,6300,None,12185.223
B9A80D510B,Brisbane,-27.379439,Timber Frame,Tile,30.0,53.0,Single,No,2020,7140,None,14630.343
B5C83753B3,Brisbane,-27.189042,Timber Frame,Steel,22.5,332.0,Double,No,2019,4620,None,9532.798
3D0D7B0193,Brisbane,-27.432209,Timber Frame,Tile,35.0,346.0,Single,No,2016,5460,None,10975.894
C76AAFD4F4,Brisbane,-27.635006,Timber Frame,Steel,30.0,346.0,Double,Yes,2018,7140,None,14765.786
5102BDD53E,Brisbane,-27.123938,Double Brick,Steel,30.0,339.0,Single,Yes,2021,6300,None,13442.549
8A96DF72A3,Brisbane,-27.52858,Timber Frame,Tile,5.0,307.0,Double,Yes,2012,7560,None,13589.8
66027CD6D6,Brisbane,-27.308539,Timber Frame,,35.0,8.0,Other,Yes,2012,7140,None,13899.408
5F4596F4E1,Brisbane,-27.567335,Timber Frame,Tile,30.0,131.0,Single,No,2018,4200,None,6721.589
8A7E4C8CDA,Brisbane,-27.62893,Timber Frame,Tile,12.5,2.0,Single,Yes,2021,5040,None,10471.259
B346DA7F13,Brisbane,-27.862387,Timber Frame,Tile,5.0,45.0,Double,No,2010,6720,None,11895.638
87948DC584,Brisbane,-27.303686,Timber Frame,Steel,25.0,229.0,Double,No,2019,5880,None,9783.444
8378B0ADA5,Brisbane,-27.492777,Double Brick,Tile,30.0,0.0,Double,Yes,2018,7140,Partial,12026.434
8CA75AE698,Brisbane,-27.66776,Timber Frame,Tile,35.0,47.0,Single,Yes,2019,5880,None,11851.645
FF3DB57BC5,Brisbane,-27.341641,Timber Frame,Tile,30.0,302.0,,No,2014,5880,Partial,8763.026
F431871A45,Brisbane,-27.073739,Timber Frame,Tile,5.0,74.0,,Yes,2015,7560,None,14242.486
3EB5EDD858,Brisbane,-26.873892,Timber Frame,Steel,30.0,85.0,Double,Yes,2019,5040,None,9533.456
72605D3CDD,Brisbane,-27.347053,Timber Frame,Tile,35.0,10.0,Other,Yes,2019,6300,None,13187.646
86F4E3A6BE,Brisbane,-28.055133,Timber Frame,Tile,25.0,65.0,Double,Yes,2012,3780,None,6832.715
A086D5A4FD,Brisbane,-27.023268,Timber Frame,Steel,10.0,312.0,Double,No,2020,6720,,13577.91
B486DAC09F,Brisbane,-27.493058,Timber Frame,Steel,30.0,56.0,,Yes,2019,6720,None,13531.511
7208676BEB,Brisbane,-27.689109,Timber Frame,Tile,30.0,82.0,Other,No,2012,7140,None,12481.524
443A3777D4,Brisbane,-27.580996,Timber Frame,Tile,22.5,289.0,Single,Yes,2013,5880,None,10663.05
987920D386,Brisbane,-27.380226,Timber Frame,Tile,22.5,56.0,Other,Yes,2015,4620,None,8902.337
AB9FD4462F,Brisbane,-27.409439,,Tile,20.0,14.0,Other,No,2015,6300,None,12641.297
89223994A2,Brisbane,-27.248704,Timber Frame,Steel,20.0,3.0,Single,No,2010,6300,None,12067.815
40F40172ED,Brisbane,-28.040523,Double Brick,Steel,5.0,12.0,Double,No,2020,5460,None,10761.754
17FBFCC4F4,Brisbane,-27.641619,Other,,30.0,14.0,Single,No,2011,7140,None,13778.625
5523D07350,Brisbane,-27.37895,Other,Steel,22.5,211.0,Single,Yes,2013,5880,Significant,4553.944
449EF6B217,Brisbane,-27.598575,Timber Frame,Steel,30.0,347.0,Single,Yes,2009,5880,None,11040.093
37849CDF43,Brisbane,-27.162882,Double Brick,Steel,25.0,253.0,Single,No,2011,7140,None,11552.388
5E5886BC12,Brisbane,-27.34254,Other,Tile,20.0,68.0,Other,Yes,2012,7560,Partial,11081.126
3ABEFC17E1,Brisbane,-27.75275,Timber Frame,,25.0,282.0,Double,Yes,2020,5040,Significant,4807.801
B431292DFF,Brisbane,-27.667065,Other,Steel,20.0,332.0,Double,Yes,2020,6300,Partial,10424.652
9E96635E47,Brisbane,,Other,,25.0,354.0,Double,No,2010,5460,Partial,8309.628
3623489C48,Brisbane,-27.072566,Timber Frame,Tile,25.0,307.0,Double,Yes,2012,6720,,12531.826
4106DA65C2,Brisbane,-27.141584,Double Brick,,25.0,138.0,Single,Yes,2014,5040,None,7961.609
E6328CA332,Brisbane,-27.041999,,Tile,25.0,76.0,Single,No,2013,7140,None,12973.107
C6E0C07B1C,Brisbane,-27.534686,Double Brick,Other,5.0,143.0,,Yes,2020,6720,None,12700.373
B3BB4ABEA4,Brisbane,-27.515329,Double Brick,Tile,30.0,329.0,Single,Yes,2010,6720,None,12519.987
A259652A47,Brisbane,-27.538917,Timber Frame,Steel,12.5,183.0,Single,No,2019,3780,None,6705.066
643734AD96,Brisbane,-27.662205,Timber Frame,Steel,25.0,2.0,Double,Yes,2011,6300,None,12191.507
56F71F4C8A,Brisbane,-27.276844,Timber Frame,Tile,30.0,45.0,Double,No,2020,4620,Partial,7728.1
CF11A53F0E,Brisbane,-27.417689,Timber Frame,Tile,25.0,47.0,Other,Yes,2011,6300,Partial,9496.868
7B38FAB55D,Brisbane,,Timber Frame,Tile,5.0,234.0,Single,Yes,2020,6720,None,12825.914
2414F93EE7,Brisbane,-27.326586,Double Brick,Tile,25.0,116.0,Other,Yes,2019,5460,Significant,4738.766
34C7A9B9F9,Brisbane,-27.812942,Timber Frame,,25.0,100.0,Double,Yes,2012,7140,None,11959.632
AEF68998F5,Brisbane,-27.574437,Timber Frame,Steel,25.0,234.0,Double,Yes,2013,5880,Partial,7378.89
7E5C5B0099,Brisbane,-27.141139,Other,Tile,25.0,,Single,Yes,2010,5880,Partial,6742.927
2D5100CFC3,Brisbane,-27.511749,Double Brick,,25.0,,Double,Yes,2010,7560,None,14356.5
07BC473A54,Brisbane,-27.586933,Timber Frame,Steel,5.0,232.0,Single,Yes,2012,8400,,11736.671
15DA366754,Brisbane,-27.405173,Timber Frame,Steel,25.0,,Double,Yes,2018,6300,Partial,8866.515
56DAA7C2D6,Brisbane,-27.727821,Timber Frame,Steel,,83.0,,No,2014,5460,None,9717.911
3D04A4DFC4,Brisbane,-27.347842,Double Brick,Tile,30.0,144.0,Single,Yes,2016,5040,None,7686.631
3B5ACB33E4,Brisbane,-26.818845,Timber Frame,,25.0,182.0,Single,Yes,2012,5460,None,8021.645
45A30122D2,Brisbane,-26.839225,Timber Frame,Steel,35.0,218.0,Double,No,2012,7560,Partial,8378.17
BE0ACD8A2D,Brisbane,-27.221075,Double Brick,Tile,30.0,0.0,Double,Yes,2019,7140,None,15254.297
405CEFBA8B,Brisbane,-27.603807,Timber Frame,Other,22.5,277.0,Double,Yes,2012,6720,Partial,9415.357
4F8ABA777B,Brisbane,-27.572303,Timber Frame,Colorbond,,13.0,Double,Yes,2010,5460,None,10345.507
50707ED652,Brisbane,-27.51699,Timber Frame,Tile,35.0,79.0,Double,Yes,2020,7140,None,13461.311
1297209F62,Brisbane,-28.177876,Double Brick,Steel,10.0,266.0,Double,No,2011,6300,None,10900.737
2F0C023436,Brisbane,-27.748411,Timber Frame,Steel,30.0,214.0,Single,Yes,2015,7140,None,10557.871
6EC496A4A1,Brisbane,-27.479577,Double Brick,Steel,22.5,240.0,,No,2019,7140,None,12370.623
C68D610DE1,Brisbane,-27.406101,Timber Frame,Tile,25.0,346.0,Single,No,2012,6300,None,12192.04
CA9EB4BADC,Brisbane,-27.613505,Timber Frame,Other,25.0,235.0,Single,Yes,2009,7140,None,10742.331
BFF72C9884,Brisbane,-27.305566,Timber Frame,Tile,35.0,92.0,Double,Yes,2011,7560,Partial,9989.816
029E3A047C,Brisbane,-27.092915,Timber Frame,Tile,22.5,318.0,Single,Yes,2012,7980,Partial,12085.732
C07808E45E,Brisbane,-27.126446,Timber Frame,Steel,12.5,258.0,Single,No,2020,7140,None,13522.167
414E8D4015,Brisbane,-27.81238,Timber Frame,,10.0,303.0,Other,Yes,2021,5880,None,11758.926
4C3EAE3800,Brisbane,-27.51523,Timber Frame,Tile,25.0,67.0,Double,Yes,2018,4620,None,8931.169
7F7BCEC377,Brisbane,-27.148972,Timber Frame,Steel,12.5,117.0,Single,No,2012,5880,Partial,8201.974
706890FB78,Brisbane,-27.297693,Timber Frame,,10.0,25.0,Double,Yes,2012,5880,Partial,8824.282
81153C2179,Brisbane,-27.794663,Timber Frame,,12.5,337.0,Other,Yes,2012,6720,Partial,10057.931
9E8C70CB4F,Brisbane,-27.522901,Timber Frame,Tile,12.5,12.0,Single,No,2010,6300,Partial,9273.232
7FFEC49344,Brisbane,-27.32834,Double Brick,Tile,30.0,345.0,Single,Yes,2015,8400,None,16892.661
5776C4510A,Brisbane,-27.328734,Timber Frame,Steel,25.0,129.0,Double,Yes,2012,6720,None,10543.757
4984B5CBD9,Brisbane,-27.484296,Timber Frame,,25.0,314.0,Double,Yes,2011,7140,None,13222.607
CBF945F564,Brisbane,-27.49161,Timber Frame,Steel,35.0,30.0,Double,Yes,2010,6720,Partial,10015.0
D87E946D21,Brisbane,-27.628173,Double Brick,Tile,25.0,294.0,Other,Yes,2010,4620,None,8168.291
EECBAC98BD,Brisbane,-27.217456,Timber Frame,Steel,30.0,264.0,Double,Yes,2015,5880,None,10070.697
797CD0A114,Brisbane,-27.323438,Timber Frame,Tile,30.0,192.0,Other,Yes,2009,7980,None,10746.863
7B9EAEF4FD,Brisbane,-27.222729,Timber Frame,Tile,30.0,243.0,Other,Yes,2019,5460,Partial,7326.27
DDD5003FB8,Brisbane,-27.417578,Timber Frame,Steel,30.0,11.0,Other,Yes,2013,6720,None,13331.846
7A3220C380,Brisbane,-27.103082,Timber Frame,Tile,30.0,5.0,Single,Yes,2011,6720,Significant,6577.083
8050F92066,Brisbane,-27.972113,Timber Frame,Steel,30.0,,,Yes,2016,6720,None,13496.366
E6DAB50B8C,Brisbane,-27.585087,Other,Tile,35.0,145.0,Single,No,2018,8400,None,12397.734
A35A09DB05,Brisbane,-27.346815,Timber Frame,Steel,25.0,21.0,Single,Yes,2013,6300,None,12393.445
CA40B3A16F,Brisbane,-27.105802,Timber Frame,Tile,30.0,266.0,,Yes,2018,7140,Significant,6355.217
41EC1CCEC6,Brisbane,-27.608262,,Tile,25.0,37.0,,Yes,2020,6300,None,13146.574
887B81B154,Brisbane,-27.421694,Timber Frame,Steel,20.0,332.0,Other,Yes,2021,7560,None,15862.485
95ACAD80FC,Brisbane,-27.368319,Timber Frame,Steel,25.0,204.0,Double,Yes,2018,6720,None,10629.744
441E5C9FDA,Brisbane,-27.210833,Double Brick,Steel,35.0,275.0,Other,Yes,2011,4620,None,7626.614
3072A90E4E,Brisbane,-27.338371,Timber Frame,Tile,30.0,2.0,Double,Yes,2017,6720,None,14021.356
1FF7274034,Brisbane,-27.511891,Timber Frame,Other,30.0,337.0,Single,Yes,2013,6720,Partial,10452.09
D4FBCDB61E,Brisbane,-27.056705,Timber Frame,Steel,20.0,354.0,Double,Yes,2021,7980,Partial,13746.372
F8A1B2F21B,Brisbane,,Timber Frame,,20.0,59.0,Other,No,2011,7140,None,13208.155
D158157A98,Brisbane,-27.279982,Timber Frame,Tile,25.0,184.0,Single,Yes,2012,5460,Partial,6379.037
BF8300B83B,Brisbane,-27.529462,Timber Frame,Tile,5.0,,Double,Yes,2012,6720,None,11611.312
A100A50262,Brisbane,-27.622633,Timber Frame,Tile,25.0,340.0,Single,No,2012,7980,Significant,7646.645
5785A0A99E,Brisbane,-27.0573,Double Brick,Tile,35.0,1.0,Single,Yes,2020,6720,None,14389.901
4E27BFC696,Brisbane,-26.953002,Timber Frame,Steel,30.0,25.0,Single,No,2017,5460,None,11286.716
4773A5B4C0,Brisbane,-27.91614,Timber Frame,Tile,22.5,55.0,Double,Yes,2009,8820,Partial,12632.168
C6A4C72929,Brisbane,-26.881497,Timber Frame,,22.5,169.0,Double,Yes,2019,6300,None,10370.334
03D325470E,Brisbane,-27.415982,Other,Other,30.0,352.0,Single,Yes,2011,7980,None,15455.955
82BAB3D410,Brisbane,-26.970544,Timber Frame,,5.0,359.0,Other,No,2017,5460,Partial,8487.372
BA29817E4A,Brisbane,-27.423735,Timber Frame,Tile,35.0,0.0,Double,Yes,2018,5040,Partial,8414.255
84261F4767,Brisbane,-26.963043,,Steel,22.5,124.0,Double,No,2018,5880,None,10210.297
374B7EE7D8,Brisbane,-27.590744,Timber Frame,Tile,30.0,272.0,Single,Yes,2017,6300,None,11192.343
AE02CB9621,Brisbane,-26.978095,Timber Frame,Other,25.0,328.0,Single,No,2019,7140,None,14724.374
2891305F34,Brisbane,-27.62867,,Tile,10.0,158.0,Double,No,2012,6300,None,10638.029
737C33CF7E,Brisbane,-27.397995,Timber Frame,Tile,30.0,,Single,Yes,2013,7140,Significant,5114.567
E1310DB8F2,Brisbane,-27.191381,Timber Frame,Steel,25.0,354.0,Single,Yes,2016,6300,Partial,10314.637
576F3B8D3C,Brisbane,-27.251897,Timber Frame,Steel,25.0,250.0,Double,Yes,2020,5460,None,9606.245
0FABF83F70,Brisbane,,Timber Frame,Steel,20.0,121.0,Other,No,2021,6720,None,12301.779
23847DD9AE,Brisbane,-27.313463,Timber Frame,Tile,25.0,2.0,Other,No,2019,6720,None,14253.19
FF38EF6EBD,Brisbane,-27.477248,Double Brick,Steel,12.5,339.0,,Yes,2016,4620,None,9081.074
93013942E6,Brisbane,-27.451838,Timber Frame,Tile,30.0,163.0,Double,Yes,2013,6300,None,8959.88
68A2706F9D,Brisbane,-27.07683,Timber Frame,,10.0,324.0,Double,Yes,2019,4200,None,8438.84
1B30D09267,Brisbane,-27.411613,Timber Frame,,20.0,319.0,,No,2020,6300,None,12932.079
5FE33FA1A1,Brisbane,-27.154265,Timber Frame,Steel,5.0,240.0,,Yes,2015,6300,None,11538.724
C539054874,Brisbane,-27.241773,Other,Steel,35.0,181.0,Single,Yes,2021,6300,None,8818.569
1D3B9FDF9E,Brisbane,-27.109007,Double Brick,Tile,25.0,8.0,Single,Yes,2015,7140,None,14514.278
4E729ED449,Brisbane,-27.298637,Timber Frame,Tile,25.0,309.0,Other,Yes,2011,6720,,12375.766
967DFE7763,Brisbane,-27.34986,Timber Frame,Tile,22.5,252.0,Single,No,2011,5460,None,8908.105
04183B256C,Brisbane,-27.370393,Timber Frame,Tile,30.0,272.0,Other,Yes,2020,5460,None,10049.072
EA1388FCAC,Brisbane,-27.461953,Double Brick,Other,35.0,359.0,Other,Yes,2020,5460,Partial,9285.368
0858163B03,Brisbane,-27.525017,Timber Frame,Steel,22.5,351.0,Double,Yes,2012,5880,None,11397.948
FC2B71934E,Brisbane,-27.157064,Timber Frame,Tile,25.0,146.0,Double,Yes,2020,5880,None,9765.935
3D7703DEFC,Brisbane,-27.425516,Timber Frame,Tile,25.0,47.0,Single,No,2020,6720,None,13914.006
F77FAE8EFE,Brisbane,-27.700324,Double Brick,Other,25.0,21.0,Single,Yes,2020,7980,None,16813.93
32012E50D7,Brisbane,-27.380742,Other,Steel,22.5,,Double,Yes,2019,7980,None,15117.275
B4C5516838,Brisbane,-27.4245,Timber Frame,Steel,22.5,,Single,No,2019,6300,None,11888.69
EE065C3EED,Brisbane,-27.1409,Other,Tile,10.0,296.0,Double,Yes,2018,6300,Partial,9819.223
90AB3509F6,Brisbane,-26.793929,Timber Frame,,22.5,323.0,Other,Yes,2010,5460,None,10204.077
1EA301566D,Brisbane,-27.569872,Timber Frame,Steel,20.0,176.0,Other,No,2016,5880,None,9481.883
A7960EBDE8,Brisbane,-27.451532,Timber Frame,Tile,22.5,7.0,Double,Yes,2021,6720,None,14437.342
9D26A3387D,Brisbane,-27.130949,Double Brick,Tile,25.0,351.0,Other,Yes,2020,6720,None,14315.718
795B1E4967,Brisbane,-27.601785,Timber Frame,Steel,25.0,318.0,Single,Yes,2011,6300,None,11695.824
5765CA915F,Brisbane,-27.414667,Timber Frame,Steel,12.5,348.0,Double,Yes,2011,5460,None,10204.492
779ED7E717,Brisbane,-27.522446,Timber Frame,Other,20.0,162.0,Double,No,2015,4200,None,6802.747
6A7EB9C6F7,Brisbane,-27.308458,Timber Frame,Tile,20.0,9.0,,Yes,2010,7140,None,13618.011
5660E35DC2,Brisbane,,Timber Frame,,30.0,169.0,Single,Yes,2016,5040,None,7344.843
9B998D375C,Brisbane,-27.46735,Other,Steel,25.0,360.0,Double,Yes,2017,6720,None,13936.729
1336556B97,Brisbane,-27.120449,Timber Frame,,20.0,351.0,Double,No,2012,5880,Partial,9170.36
209314E5B5,Brisbane,-27.183857,Timber Frame,,25.0,174.0,Double,Yes,2017,7140,Partial,8844.242
C0A1FD29A3,Brisbane,-26.898159,Double Brick,Tile,10.0,40.0,Other,No,2013,6300,None,12003.463
051BBFEBC7,Brisbane,-27.524053,Timber Frame,Other,22.5,307.0,Single,Yes,2020,7140,None,14378.954
919D99AD96,Brisbane,-27.129467,Timber Frame,Steel,35.0,213.0,Double,No,2011,5880,None,7953.046
5310E8253B,Brisbane,-27.350809,Timber Frame,,25.0,5.0,,No,2021,6300,None,13606.683
E8C70AD5F2,Brisbane,-27.283157,Timber Frame,Steel,22.5,320.0,Double,Yes,2021,5880,None,12232.758
C155ABFD8D,Brisbane,-27.334336,Timber Frame,Tile,35.0,99.0,Double,No,2012,5880,None,9622.739
B6EB5CCA76,Brisbane,-27.760949,Other,Tile,25.0,106.0,Single,Yes,2020,6300,None,11280.052
52D8A5723B,Brisbane,-27.282445,Double Brick,Tile,35.0,205.0,Single,Yes,2011,6300,None,8394.386
A0AEF4C840,Brisbane,-27.692046,Timber Frame,Steel,30.0,0.0,Double,Yes,2020,7980,Partial,13676.09
41D15F4244,Brisbane,-27.383274,Double Brick,Tile,30.0,356.0,Single,Yes,2019,6300,None,13361.715
3B6B6C3835,Brisbane,-27.558748,Timber Frame,Steel,22.5,81.0,Double,Yes,2018,5880,Partial,8910.336
9B769BB3B7,Brisbane,-27.600603,Timber Frame,Tile,35.0,104.0,Single,Yes,2010,4620,None,7231.298
1D9A61FB1F,Brisbane,-27.250214,Double Brick,,20.0,269.0,Single,Yes,2018,6720,Partial,9977.041
63445F04D3,Brisbane,-27.484807,Timber Frame,Tile,10.0,90.0,Double,Yes,2020,6300,Partial,9856.135
15C6CD32CA,Brisbane,-27.132392,Timber Frame,Other,10.0,107.0,Double,No,2017,6720,Significant,6289.509
516AF8A5EB,Brisbane,-27.552061,Other,Tile,25.0,215.0,Other,No,2020,6720,None,10992.726
2A46E88AF3,Brisbane,,Timber Frame,Tile,30.0,258.0,Single,No,2020,5880,None,10429.167
9A13038928,Brisbane,-27.342865,,Other,12.5,289.0,Single,No,2011,6300,Partial,9063.182
9DB9711306,Brisbane,-27.652836,Timber Frame,Tile,12.5,154.0,Single,Yes,2015,6300,None,10848.673
0E4E28D6D6,Brisbane,-26.833196,Timber Frame,Colorbond,25.0,290.0,Single,No,2018,5880,None,11391.714
5C36062E6C,Brisbane,-27.162301,Timber Frame,Tile,25.0,7.0,Double,Yes,2011,6300,None,12252.337
638C3E831E,Brisbane,-27.49041,Timber Frame,Steel,35.0,337.0,Single,No,2020,6300,None,13052.333
AA1254D47A,Brisbane,-26.996897,,Tile,25.0,75.0,Single,Yes,2012,7140,None,12850.294
FAF88689DD,Brisbane,-27.926375,Timber Frame,Steel,25.0,271.0,Single,Yes,2010,5880,None,9765.391
BE8D44D37A,Brisbane,-27.307614,Timber Frame,Tile,30.0,232.0,Other,Yes,2012,5880,None,8813.568
7746A493FF,Brisbane,-27.706124,Timber Frame,Tile,35.0,144.0,Other,Yes,2013,6720,None,9389.28
2DED861777,Brisbane,-27.565741,Timber Frame,Tile,25.0,360.0,Single,Yes,2021,4200,Significant,4531.833
049C653AB8,Brisbane,-27.486472,Timber Frame,Steel,22.5,300.0,Single,Yes,2017,5040,None,9733.038
F922EF9B30,Brisbane,-27.361029,,Tile,25.0,9.0,Double,No,2018,6300,None,13163.983
C9BE047669,Brisbane,-27.395882,Double Brick,Steel,,62.0,Double,Yes,2013,7980,None,14832.169
DF5DAB3B85,Brisbane,-27.389498,Timber Frame,,30.0,49.0,Single,Yes,2014,5460,Partial,8492.761
A5134DA3EE,Brisbane,-27.383081,Other,Tile,30.0,301.0,Single,Yes,2018,7140,None,13837.666
887EAD7F24,Brisbane,-26.727994,Timber Frame,Steel,25.0,270.0,Single,Yes,2014,7140,None,12622.877
8A62BFAAB0,Brisbane,-27.042615,Timber Frame,Steel,35.0,4.0,Double,Yes,2011,7560,None,14659.055
144BFC0925,Brisbane,-27.187921,Timber Frame,Tile,30.0,84.0,Single,Yes,2011,5880,None,10194.025
75175C6461,Brisbane,-27.778662,Double Brick,,20.0,277.0,Single,Yes,2019,5880,,11095.725
709C029CE5,Brisbane,-27.341537,Timber Frame,Steel,35.0,187.0,Double,No,2010,4620,None,5828.521
C737FF93D0,Brisbane,-27.750776,Timber Frame,Steel,20.0,284.0,Double,Yes,2012,5460,None,9686.499
3184C20C24,Brisbane,-27.499927,Timber Frame,Tile,22.5,343.0,Double,Yes,2019,5460,None,11321.55
05181530C8,Brisbane,-27.229327,Timber Frame,Steel,30.0,82.0,Double,Yes,2012,5040,None,8868.908
95035A1C63,Brisbane,-27.387908,Double Brick,Steel,22.5,276.0,,Yes,2014,5040,None,9017.149
D60BF0263F,Brisbane,-27.239686,Timber Frame,Tile,25.0,358.0,Double,Yes,2012,7140,None,14056.834
8B35097D5B,Brisbane,-27.166487,Timber Frame,Steel,25.0,21.0,Single,Yes,2011,6300,None,12155.13
93D02A830A,Brisbane,-27.751185,Timber Frame,Tile,30.0,16.0,Double,No,2021,8820,None,18868.14
4FBD3654F6,Brisbane,-27.455068,Double Brick,,5.0,118.0,Double,Yes,2019,5880,None,11047.672
D4831373E3,Brisbane,-27.179678,Timber Frame,Tile,35.0,332.0,Other,No,2016,6720,,13345.308
400E3699E5,Brisbane,-27.097528,Timber Frame,Tile,30.0,359.0,Single,Yes,2020,5880,Significant,6352.752
6A3B19A038,Brisbane,-27.524138,Timber Frame,Steel,25.0,312.0,Double,Yes,2020,6300,Partial,10230.693
C58016EDDB,Brisbane,-27.338327,Timber Frame,Other,25.0,11.0,Double,Yes,2012,7560,None,14793.469
2E6C76CA36,Brisbane,-27.049787,Double Brick,Steel,22.5,181.0,Single,Yes,2012,6720,None,10125.855
46BB2A9B38,Brisbane,-27.275799,Timber Frame,Steel,20.0,321.0,Single,Yes,2015,7980,None,15610.627
FE02F72339,Brisbane,-27.386534,Timber Frame,Other,25.0,100.0,Double,No,2018,4620,None,8306.572
129B14A582,Brisbane,-27.751641,Timber Frame,Steel,30.0,,,Yes,2011,8820,Partial,12959.393
7ABAD629DC,Brisbane,-27.718121,Timber Frame,Steel,25.0,185.0,Double,Yes,2021,6300,Significant,5028.073
13B1291255,Brisbane,-27.409228,Timber Frame,Colorbond,5.0,177.0,,Yes,2020,4200,None,7910.585
756E13D2FA,Brisbane,-27.630922,Double Brick,Steel,20.0,302.0,Single,Yes,2016,6720,Partial,10288.802
B7B4C003BA,Brisbane,-27.547843,Other,Steel,22.5,356.0,,Yes,2018,6720,None,13963.243
3165C51A5C,Brisbane,-27.286523,Timber Frame,Steel,5.0,308.0,Double,Yes,2020,7560,Partial,11897.276
CBCC926EFE,Brisbane,-27.434672,Timber Frame,Steel,12.5,240.0,Double,No,2008,7140,None,11587.757
3234D48F51,Brisbane,-27.543879,Timber Frame,,12.5,359.0,Other,Yes,2015,5040,Partial,7887.907
C068DF4734,Brisbane,-27.466587,Other,Steel,25.0,115.0,Double,Yes,2020,5880,None,10316.102
C44BB65C31,Brisbane,-27.424798,Timber Frame,Steel,12.5,351.0,Double,Yes,2020,5880,None,12110.84
C3C72D7AB9,Brisbane,-27.448072,,Tile,22.5,29.0,Other,No,2021,5880,,12473.708
FACA4F9B60,Brisbane,-27.30585,Double Brick,Tile,30.0,322.0,Single,No,2019,5460,None,11164.404
F04B63BF91,Brisbane,-27.258707,Timber Frame,Steel,10.0,191.0,Single,Yes,2011,8820,None,14731.66
0E10EEFAB2,Brisbane,-27.464645,Timber Frame,Steel,22.5,195.0,Single,Yes,2012,5880,None,8890.738
3B3E7D33B3,Brisbane,-27.384734,Timber Frame,Tile,12.5,360.0,Double,Yes,2013,6720,None,12897.735
ED61A42A76,Brisbane,-27.657213,Timber Frame,Tile,22.5,315.0,Single,Yes,2020,5880,None,11978.417
5E9507F440,Brisbane,,Timber Frame,,12.5,204.0,Double,Yes,2021,8820,None,16097.206
B38AF74F11,Brisbane,-27.609954,,Tile,22.5,203.0,Single,Yes,2011,7560,None,11349.478
